# 来源：kajweb/dict GaoZhongluan_2（有道高考必备词汇，非官方新课标3500表）
# 格式：word|词性|中文释义。词性含 n/v/a/d 时分别控制生成复数/动词变形/比较级。
# 词条数：3665（跳过 3 条：词组、重复或非法字符）
extension|n|n 延长；延期；扩大；伸展；电话分机
extra|a d n|adv 特别地，非常；另外；n 临时演员；号外；额外的事物；上等产品
extraordinary|a|adj 非凡的；特别的；离奇的；临时的；特派的
extreme|a n|adj 极端的；极度的；偏激的；尽头的；n 极端；末端；最大程度；极端的事物
extremely|d|adv 非常，极其；极端地
eye|n v|n 眼睛；视力；眼光；见解，观点；v 注视，看
eyesight|n|n 视力；目力
eyewitness|n|n 目击者；见证人
face|n v|n 脸；表面；面子；面容；外观；威信；v 向；朝
facial|a n|adj 面部的，表面的；脸的，面部用的；n 美容，美颜；脸部按摩
fact|n|n 事实；实际；真相
factory|n|n 工厂；制造厂；代理店
fade|a n v|v 褪色；凋谢；逐渐消失；adj 平淡的；乏味的
fail|n v|v 失败，不及格；破产；缺乏；衰退；n 不及格
failure|n|n 失败；故障；失败者；破产
fair|a d n v|adj 公平的；美丽的，白皙的；[气象] 晴朗的；adv 公平地；直接地；清楚地
fairly|d n|adv 相当地；公平地；简直；n (Fairly)人名；(英)费尔利
fairness|n|n 公平；美好；清晰；顺利性
faith|n|n 信仰；信念；信任；忠实
fall|a n v|v 落下；变成；来临；减弱；n 下降；秋天；瀑布
false|a d|adj 错误的；虚伪的；伪造的；adv 欺诈地
familiar|a n|adj 熟悉的；常见的；亲近的；n 常客；密友
family|a n|n 家庭；亲属；家族；子女；[生]科；语族；[化]族；adj 家庭的；家族的；适合于全家的
famous|a|adj 著名的；极好的，非常令人满意的
fan|n v|v 煽动；刺激；吹拂；n 迷；风扇；爱好者
fancy|a n v|n 幻想；想象力；爱好；adj 想象的；奇特的；昂贵的；精选的
fantastic|a n|adj 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的；n 古怪的人
fantasy|a n v|n 幻想；白日梦；幻觉；adj 虚幻的
far|a d n|adv 很；遥远地；久远地；到很远的距离；到很深的程度；adj 远的；久远的
fare|n v|v 经营；进展；遭遇；过活；n 票价；费用；旅客；食物
farm|n v|v 种田，务农；经营农场；n 农场；农家；畜牧场
farmer|n|n 农夫，农民
fast|a d n v|adj 快速的，迅速的；紧的，稳固的；adv 迅速地；紧紧地；彻底地
fasten|n v|v 使固定；集中于；扎牢；强加于；n (Fasten)人名；(英)法森
fat|a n v|adj 肥的，胖的；油腻的；丰满的；n 脂肪，肥肉
father|n v|n 父亲，爸爸；神父；祖先；前辈；v 发明，创立；当…的父亲
fault|n v|n 故障；[地质] 断层；错误；缺点；毛病；（网球等）发球失误；v 弄错；产生断层
favour|n v|n 偏爱；赞同；善行；v 赞成；喜爱；有助于
favourite|a n|adj 特别受喜爱的；n 特别喜爱的人（或物）
fax|n v|v 传真；n 传真
fear|n v|n 害怕；恐惧；敬畏；担心；v 害怕；敬畏；为…担心
feast|n v|v 享受；款待，宴请；n 筵席，宴会；节日
feather|n v|n 羽毛；v 用羽毛装饰
february|n|n 二月
federal|a d n|adj 联邦的；同盟的；联邦政府的； 联邦制的；adv 联邦政府地
fee|n v|n 费用；酬金；小费；v 付费给……
feed|n v|v 喂养；供给；放牧；抚养（家庭等）；靠…为生；n 饲料；饲养；（动物或婴儿的）一餐
feel|n v|v 感觉；认为；触摸；试探；n 感觉；触摸
feeling|a n v|n 感觉，触觉；感情，情绪；同情；adj 有感觉的；有同情心的；富于感情的
fellow|a n v|n 家伙；朋友；同事；会员；adj 同伴的，同事的；同道的
female|a n|adj 女性的；雌性的；柔弱的，柔和的；n 女人；[动] 雌性动物
fence|n v|n 栅栏；围墙；剑术；v 防护；用篱笆围住；练习剑术
ferry|n v|n 渡船；摆渡；渡口；v （乘渡船）渡过；用渡船运送；空运
festival|a n|n 节日；庆祝，纪念活动；欢乐；adj 节日的，喜庆的；快乐的
fetch|n v|v 取来；接来；到达；吸引；n 取得；诡计
fever|n v|n 发烧，发热；狂热；vt 使发烧；使狂热；使患热病
few|a n|adj 很少的；几乎没有的；pron 很少
fibre|n|n 纤维；纤维制品
fiction|n|n 小说；虚构，编造；谎言
field|a n v|n 领域；牧场；旷野；战场；运动场；v 担任场外队员
fierce|a n|adj 凶猛的；猛烈的；暴躁的；n (Fierce)人名；(英)菲尔斯
fifteen|a n|n 十五；十五个；十五人组成的橄榄球队；adj 十五的
fifth|a n|adj 第五的；五分之一的；n 第五；五分之一
fifty|a n|n 五十；五十个；编号为50的东西；adj 五十的；五十个的；众多的
fight|n v|v 打架；与…打仗，与…斗争；反对…提案；n 打架；战斗，斗志
figure|n v|n 数字；人物；图形；价格；（人的）体形；画像；v 计算；出现；扮演角色
file|n v|n 文件；档案；文件夹；锉刀；v 提出；锉；琢磨；把…归档
fill|n v|v 装满，使充满；满足；堵塞；任职；n 满足；填满的量；装填物
film|n v|n 电影；薄膜；胶卷；轻烟；v 在…上覆以薄膜；把…拍成电影
final|a n|adj 最终的；决定性的；不可更改的；n 决赛；期末考试；当日报纸的末版
finance|n v|n 财政，财政学；金融；v 负担经费，供给…经费
find|n v|v 查找，找到；发现；认为；感到；获得；n 发现
fine|a d n v|adj 好的；优良的；细小的，精美的；健康的；晴朗的；n 罚款
finger|n v|n 手指；指针，指状物；v 伸出；用手指拨弄
fingernail|n|n 手指甲
finish|n v|v 完成；结束；用完；n 结束；完美；回味（葡萄酒）
fire|n v|n 火；火灾；炮火；炉火；热情；激情；磨难；v 点燃；解雇；开除；使发光；烧制；激动；放枪
firefighter|n|n 消防队员
fireplace|n|n 壁炉
firewood|n|n 柴火；木柴
firework|n|n 烟火；激烈情绪
firm|a d n v|adj 坚定的；牢固的；严格的；结实的；v 使坚定；使牢固
firmly|d|adv 坚定地，坚决地；坚固地，稳固地
first|a d n|adv 第一；首先；优先；宁愿；n 第一；开始；冠军
fish|n v|v 捕鱼，钓鱼；用钩捞取；n 鱼，鱼类
fisherman|n|n 渔夫；渔人
fist|n v|n 拳，拳头；〈口〉笔迹；掌握；[印]指标参见号；vt 紧握；握成拳；用拳打
fit|a n v|v 安装；使……适应；使……合身；与……相符；adj 健康的；合适的；恰当的；准备好的
five|a n|n 五，五个；五美元钞票；num 五，五个
fix|n v|v 使固定；修理；安装；准备；n 困境；方位；贿赂
flag|n v|v 标记；衰退；枯萎；n 标志；旗子
flame|n v|n 火焰；热情；光辉；v 焚烧；泛红
flaming|a n v|adj 燃烧的；火红的；激昂的；v 燃烧；变亮；发光（flame的ing形式）
flash|a n v|v 使闪光；反射；n 闪光，闪现；一瞬间
flashlight|n|n 手电筒；闪光灯
flat|a d n v|adj 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的；adv （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地
flee|v|v 逃走；消失，消散
flesh|n v|n 肉；肉体；v 喂肉给…；使发胖
flexible|a|adj 灵活的；柔韧的；易弯曲的
flight|n v|n 飞行；班机；逃走；v 射击；使惊飞
float|n v|v 使漂浮；实行；n 彩车，花车；漂流物；浮舟；浮萍
flood|n v|v 淹没；充满；溢出；n 洪水；泛滥；一大批
floor|n v|n 地板，地面；楼层；基底；议员席；v 铺地板；打倒，击倒；（被困难）难倒
flour|n v|n 面粉；粉状物质；v 撒粉于；把…磨成粉
flow|n v|v 流动，涌流；川流不息；飘扬；n 流动；流量；涨潮，泛滥
flower|n v|n 花；精华；开花植物；v 成熟，发育；开花；繁荣；旺盛
flu|n|n 流感
fluency|n|n （语言、文章）流利；（技能）娴熟
fluent|a|adj 流畅的，流利的；液态的；畅流的
fly|a n v|v 飞；驾驶飞机；飘扬；n 飞行；苍蝇；两翼昆虫
focus|n v|n 焦点；中心；清晰；焦距；v 使集中；使聚焦
fog|n v|n 雾；烟雾，尘雾；迷惑；v 使模糊；使困惑；以雾笼罩
foggy|a|adj 有雾的；模糊的，朦胧的
fold|n v|v 折叠；合拢；抱住；笼罩；n 折痕；信徒；羊栏
folk|a n|n 民族；人们；亲属（复数）；adj 民间的
follow|n v|v 跟随；遵循；追求；密切注意，注视；注意；倾听；n 跟随；追随
following|a n v|adj 下面的；其次的，接着的；n 下列事物；一批追随者
fond|a n|adj 喜欢的；温柔的；宠爱的；n (Fond)人名；(法)丰；(瑞典)丰德
food|n|n 食物；养料
fool|a n v|v 欺骗；开玩笑；戏弄；n 傻瓜；愚人；受骗者
foolish|a|adj 愚蠢的；傻的
foot|n v|n 脚；英尺；步调；末尾；v 步行；跳舞；总计
football|n v|n 足球，橄榄球；vi 踢足球；打橄榄球
for||prep 为，为了；因为；给；对于；至于；适合于；conj 因为
forbid|v|v 禁止；不准；不允许；〈正式〉严禁
force|n v|n 力量；武力；军队；魄力；v 促使，推动；强迫；强加
forecast|n v|v 预报，预测；预示；n 预测，预报；预想
forehead|n|n 额，前额
foreign|a|adj 外国的；外交的；异质的；不相关的
foreigner|n|n 外地人，外国人
foresee|v|v 预见；预知
forest|n v|v 植树于，使成为森林；n 森林
forever|d|adv 永远；不断地；常常
forget|n v|v 忘记；忽略；n (Forget)人名；(法)福尔热
forgetful|a|adj 健忘的；不注意的；疏忽的；使遗忘的
forgive|v|v 原谅；免除（债务、义务等）
fork|n v|n 叉；餐叉；耙；v 叉起；使成叉状
form|n v|n 形式，形状；形态，外形；方式；表格；v 构成，组成；排列，组织；产生，塑造
format|n v|n 格式；版式；开本；v 使格式化；规定…的格式
former|a n|adj 从前的，前者的；前任的；n 模型，样板；起形成作用的人
fortnight|n|n 两星期
fortunate|a|adj 幸运的；侥幸的；吉祥的；带来幸运的
fortune|n v|n 财富；命运；运气；vt 给予财富
forty|a n|n 四十；adj 四十的；四十个的
forward|a d n v|adj 向前的；早的；迅速的；adv 向前地；向将来
found|v|v 创立，建立；创办
founding|a n v|adj 创办的；发起的；v [机] 铸造；建造；以…为基础（found的ing形式）
fountain|n|n 喷泉，泉水；源泉
four|a n|num 四；四个；adj 四的；四个的
fourteen|n|num 十四；十四个；第十四；n 十四的记号；十四岁；十四点钟；十五世纪
fourth|a n|adj 第四的，第四个的；四分之一的；n 第四，月的第四日；四分之一
fox|n v|v 欺骗；使变酸；n 狐狸；狡猾的人
fragile|a|adj 脆的；易碎的
fragrant|a|adj 芳香的；愉快的
framework|n|n 框架，骨架；结构，构架
free|a d n v|adj 免费的；自由的，不受约束的；[化学] 游离的；v 使自由，解放；释放
freedom|n|n 自由，自主；直率
freeway|n|n 高速公路
freeze|n v|v 冻结；冷冻；僵硬；n 冻结；凝固
freezing|a|adj 冰冻的；严寒的；冷冻用的
french|a n|adj 法国的；法语的；法国人的；n 法国人；法语
frenchman|n|n 法国人
frequent|a v|adj 频繁的；时常发生的；惯常的；v 常到，常去；时常出入于
fresh|a d n|adj 新鲜的；清新的；淡水的；无经验的；n 开始；新生；泛滥
friction|n|n 摩擦，[力] 摩擦力
friday|n|n 星期五
fridge|n|n 电冰箱
fried|a v|adj 油炸的，油煎的；喝醉了的；v 油炸（fry的过去分词）
friend|n|n 朋友；助手；赞助者
friendly|a d n|adj 友好的；亲切的；支持的；融洽的，和睦的；adv 友善地；温和地
friendship|n|n 友谊；友爱；友善
fright|n v|n 惊吓；惊骇；v 使惊恐
frighten|v|v 使惊吓；吓唬…
frog|n v|n 青蛙；[铁路] 辙叉；饰扣；v 捕蛙
front|a d n v|n 前面；正面；前线；v 面对；朝向；对付
frontier|a n|n 前沿；边界；国境；adj 边界的；开拓的
frost|n v|v 结霜于；冻坏；n 霜；冰冻，严寒；冷淡
fruit|n v|n 水果；产物；v 结果实
fry|n v|n 鱼苗；油炸食物；v 油炸；油煎
fuel|n v|v 得到燃料；n 燃料；刺激因素
full|a d n v|adj 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的；adv 十分，非常；完全地；整整
fun|a n v|n 乐趣；玩笑；有趣的人或事；adj 供娱乐用的
function|n v|n 功能；[数] 函数；职责；盛大的集会；v 运行；活动；行使职责
fundamental|a n|adj 基本的，根本的；n 基本原理；基本原则
funeral|a n|n 葬礼；麻烦事；adj 丧葬的，出殡的
funny|a n|adj 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明；n 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
fur|n v|n 皮，皮子；毛皮；软毛；v 用毛皮覆盖；使穿毛皮服装
furnished|a v|adj 家具，有家具的；v 供应；装备（furnish的过去分词）
future|a n|n 未来；前途；期货；将来时；adj 将来的，未来的
gain|n v|n 增加；利润；收获；v 获得；增加；赚到
gale|n|n [气象] 大风，狂风；（突发的）一阵
gallery|n v|n 画廊；走廊；旁听席；地道；vt 在…修建走廊；在…挖地道
gallon|n|n 加仑（容量单位）
game|a n v|n 游戏；比赛；adj 勇敢的
garage|n v|n 车库；汽车修理厂；飞机库；v 把……送入车库；把（汽车）开进车库
garbage|n|n 垃圾；废物
garden|n v|n 花园；菜园；v 栽培花木
gardening|n|n 园艺；园林工人的工作
garlic|n|n 大蒜；蒜头
garment|n v|n 衣服，服装；外表，外观；v 给…穿衣服
gas|n v|n 气体；[矿业] 瓦斯；汽油；毒气；v 加油；毒（死）
gate|n v|n 大门；出入口；门道；v 给…装大门
gather|n v|v 收集；收割；使…聚集；使…皱起；n 聚集；衣褶；收获量
gay|a n|adj 快乐的；放荡的；艳丽的；n 同性恋者
general|a n|adj 一般的，普通的；综合的；大体的；n 一般；将军，上将；常规
generation|n|n 一代；产生；一代人；生殖
generous|a|adj 慷慨的，大方的；宽宏大量的；有雅量的
gentle|a n v|adj 温和的；文雅的；v 使温和，使驯服
gentleman|n|n 先生；绅士；有身份的人
geography|n|n 地理；地形
geometry|n|n 几何学
german|a n|adj 德国的；德语的，德国人的；n 德语；德国人
germany|n|n 德国
gesture|n v|n 姿态；手势；v 作手势；用动作示意
get|n v|v 使得；获得；受到；变成；n 生殖；幼兽
gift|n v|n 礼物；天赋；赠品；v 赋予；向…赠送
gifted|a v|adj 有天赋的；有才华的；v 给予（gift的过去分词）
